"replicate","time","NO2","transfer"
"NV4",0,1,6
"NV5",0,1,6
"NV6",0,1,6
"NV7",0,1,6
"NV8",0,1,6
"NV9",0,1,6
"NV10",0,1,6
"NV11",0,1,6
"NV12",0,1,6
"NV1",19,233.4508,6
"NV2",19,203.8095,6
"NV3",19,160.4876,6
"NV4",19,96.6448,6
"NV5",19,162.7677,6
"NV6",19,146.807,6
"NV7",19,121.7259,6
"NV8",19,162.7677,6
"NV9",19,146.807,6
"NV10",19,155.9274,6
"NV11",19,187.8488,6
"NV12",19,176.4483,6
"NV1",38.5,637.0285,6
"NV2",38.5,564.0653,6
"NV3",38.5,481.9817,6
"NV4",38.5,336.0553,6
"NV5",38.5,486.5419,6
"NV6",38.5,481.9817,6
"NV7",38.5,422.6991,6
"NV8",38.5,559.5051,6
"NV9",38.5,497.9424,6
"NV10",38.5,554.9449,6
"NV11",38.5,611.9474,6
"NV12",38.5,577.7459,6
"NV1",46.5,889.866,6
"NV2",46.5,821.754,6
"NV3",46.5,689.787,6
"NV4",46.5,549.306,6
"NV5",46.5,706.815,6
"NV6",46.5,706.815,6
"NV7",46.5,621.675,6
"NV8",46.5,766.413,6
"NV9",46.5,740.871,6
"NV10",46.5,817.497,6
"NV11",46.5,834.525,6
"NV12",46.5,855.81,6
"NV1",68,1588.014,6
"NV2",68,1579.5,6
"NV3",68,1439.019,6
"NV4",68,1221.912,6
"NV5",68,1404.963,6
"NV6",68,1404.963,6
"NV7",68,1336.851,6
"NV8",68,1468.818,6
"NV9",68,1451.79,6
"NV10",68,1553.958,6
"NV11",68,1541.187,6
"NV12",68,1579.5,6
"NV1",0,1,7
"NV2",0,1,7
"NV3",0,1,7
"NV4",0,1,7
"NV5",0,1,7
"NV6",0,1,7
"NV7",0,1,7
"NV8",0,1,7
"NV9",0,1,7
"NV10",0,1,7
"NV11",0,1,7
"NV12",0,1,7
"NV1",21,237.433,7
"NV2",21,216.0805,7
"NV3",21,258.7855,7
"NV4",21,199.473,7
"NV5",21,249.2955,7
"NV6",21,301.4905,7
"NV7",21,239.8055,7
"NV8",21,227.943,7
"NV9",21,261.158,7
"NV10",21,308.608,7
"NV11",21,308.608,7
"NV12",21,254.0405,7
"NV1",43,599.1406,7
"NV2",43,601.3948,7
"NV3",43,698.3254,7
"NV4",43,587.8696,7
"NV5",43,689.3086,7
"NV6",43,693.817,7
"NV7",43,632.9536,7
"NV8",43,612.6658,7
"NV9",43,802.0186,7
"NV10",43,903.4576,7
"NV11",43,885.424,7
"NV12",43,806.527,7
"NV1",51,881.9332,7
"NV2",51,833.19,7
"NV3",51,886.3644,7
"NV4",51,873.0708,7
"NV5",51,966.126,7
"NV6",51,943.97,7
"NV7",51,912.9516,7
"NV8",51,957.2636,7
"NV9",51,1121.218,7
"NV10",51,1214.2732,7
"NV11",51,1245.2916,7
"NV12",51,1138.9428,7
"NV1",67,1435.8332,7
"NV2",67,1395.9524,7
"NV3",67,1542.182,7
"NV4",67,1347.2092,7
"NV5",67,1608.65,7
"NV6",67,1480.1452,7
"NV7",67,1497.87,7
"NV8",67,1449.1268,7
"NV9",67,1723.8612,7
"NV10",67,1847.9348,7
"NV11",67,1865.6596,7
"NV12",67,1697.274,7
"NV1",72.5,1603.896,7
"NV2",72.5,1608.2728,7
"NV3",72.5,1673.9248,7
"NV4",72.5,1638.9104,7
"NV5",72.5,1792.0984,7
"NV6",72.5,1687.0552,7
"NV7",72.5,1630.1568,7
